iter	Logloss
0	0.6931054688
1	0.6930027008
2	0.692951355
3	0.6928460693
4	0.6928131104
5	0.6927616119
6	0.6927186584
7	0.6926676941
8	0.6926288605
9	0.6925875854
10	0.692530365
11	0.6925216675
12	0.6924732971
13	0.6924212646
14	0.6923739624
15	0.6923140717
16	0.6922814941
17	0.6922227478
18	0.6921737671
19	0.6921366882
20	0.6920593262
21	0.6920051575
22	0.6919488525
23	0.691912384
24	0.6918611145
25	0.6918003082
26	0.6917504883
27	0.6916651917
28	0.69161026
29	0.6915446472
30	0.6914831543
31	0.6914147949
32	0.6913519287
33	0.6912722015
34	0.6912587738
35	0.6912046051
36	0.6911352539
37	0.6911017609
38	0.691060791
39	0.691027832
40	0.6909469604
41	0.6908590698
42	0.6908073425
43	0.6907704163
44	0.6907032776
45	0.690680542
46	0.6906152344
47	0.6905731201
48	0.6904863739
49	0.6904302979
50	0.6903900146
51	0.6903282928
52	0.6902921295
53	0.6902603149
54	0.6901965332
55	0.6901194763
56	0.6900744629
57	0.690058136
58	0.6899803925
59	0.6899482727
60	0.6899210358
61	0.6898887634
62	0.6898400879
63	0.6897917175
64	0.6897379303
65	0.6897001648
66	0.6896159363
67	0.6895635986
68	0.6895410156
69	0.6894975281
70	0.6894250488
71	0.6893797302
72	0.689324646
73	0.6892767334
74	0.6892401886
75	0.6892044067
76	0.6891687012
77	0.6891660309
78	0.6891314697
79	0.6891099548
80	0.6890579224
81	0.6889915466
82	0.6889346313
83	0.6888660431
84	0.6888314819
85	0.6887730408
86	0.688711853
87	0.6886763
88	0.6886177063
89	0.6885591125
90	0.6885420227
91	0.6885003662
92	0.6884497833
93	0.6883848572
94	0.6883608246
95	0.6882675934
96	0.6882180786
97	0.6881896973
98	0.6881692505
99	0.6881274414
100	0.6880515289
101	0.6880107117
102	0.6879704285
103	0.6879236603
104	0.6878607178
105	0.6877864075
106	0.687709198
107	0.6876612854
108	0.6876205444
109	0.6876032257
110	0.6875596619
111	0.6875299072
112	0.6874984741
113	0.6874533081
114	0.6873857117
115	0.6873597717
116	0.687353363
117	0.6873184967
118	0.6872937012
119	0.6872587585
120	0.6871844482
121	0.6871395874
122	0.6871109009
123	0.6870739746
124	0.6870303345
125	0.6869706726
126	0.6869116211
127	0.6868855286
128	0.6868676758
129	0.6868105316
130	0.6867803192
131	0.6867414093
132	0.6866847229
133	0.6866293335
134	0.6866001129
135	0.6865565491
136	0.6865187836
137	0.6864382935
138	0.6863598633
139	0.6863129425
140	0.6862371826
141	0.6861936951
142	0.6861734772
143	0.6861248779
144	0.686088028
145	0.6860657501
146	0.6860476685
147	0.6859909058
148	0.6859495544
149	0.6858952332
150	0.6858476257
151	0.6857748413
152	0.6856858826
153	0.6856508636
154	0.6856027222
155	0.6855531311
156	0.685533905
157	0.6854823303
158	0.6854377747
159	0.6854048157
160	0.6853510284
161	0.6853176117
162	0.6852993011
163	0.6852753448
164	0.685244751
165	0.6852198029
166	0.6851885223
167	0.6851651001
168	0.6851054382
169	0.6850798035
170	0.6850146484
171	0.6849840546
172	0.6849627686
173	0.6849209595
174	0.6848713684
175	0.6848432922
176	0.6847921753
177	0.6847450256
178	0.6847041321
179	0.6846534729
180	0.6846105957
181	0.684588089
182	0.6845345306
183	0.684503479
184	0.6844710541
185	0.6843968201
186	0.6843699646
187	0.6843235779
188	0.6842988586
189	0.684264679
