iter	Passed	Remaining
0	2	2889
1	5	2770
2	8	2673
3	10	2695
4	14	2833
5	16	2803
6	19	2774
7	22	2758
8	25	2755
9	28	2833
10	31	2809
11	33	2725
12	35	2705
13	38	2741
14	42	2798
15	45	2802
16	48	2785
17	50	2764
18	53	2752
19	55	2734
20	58	2718
21	60	2705
22	63	2689
23	65	2676
24	68	2688
25	71	2680
26	74	2668
27	76	2662
28	79	2651
29	81	2645
30	84	2651
31	87	2656
32	91	2684
33	95	2710
34	98	2714
35	101	2707
36	103	2695
37	106	2683
38	108	2673
39	111	2665
40	114	2681
41	117	2683
42	120	2670
43	122	2658
44	125	2654
45	129	2681
46	132	2688
47	135	2687
48	138	2690
49	142	2712
50	145	2716
51	149	2730
52	152	2720
53	154	2713
54	157	2703
55	159	2693
56	162	2685
57	164	2664
58	166	2661
59	169	2658
60	172	2662
61	175	2656
62	177	2646
63	180	2636
64	182	2628
65	185	2625
66	187	2617
67	190	2610
68	192	2602
69	195	2595
70	197	2587
71	200	2583
72	204	2591
73	206	2585
74	208	2577
75	214	2603
76	216	2597
77	218	2577
78	220	2571
79	223	2565
80	225	2558
81	228	2556
82	231	2561
83	234	2555
84	236	2547
85	239	2540
86	241	2534
87	245	2540
88	248	2540
89	250	2535
90	253	2528
91	255	2521
92	259	2534
93	262	2533
94	265	2530
95	268	2528
96	271	2529
97	275	2539
98	278	2535
99	281	2534
100	284	2532
101	288	2540
102	291	2537
103	293	2531
104	296	2526
105	298	2519
106	301	2512
107	303	2506
108	306	2502
109	308	2495
110	310	2488
111	313	2483
112	316	2485
113	319	2480
114	321	2475
115	324	2470
116	325	2455
117	327	2451
118	330	2448
119	333	2442
120	335	2436
121	338	2433
122	341	2431
123	344	2431
124	347	2434
125	350	2430
126	353	2427
127	355	2418
128	357	2413
129	359	2408
130	362	2401
131	364	2397
132	367	2392
133	369	2387
134	372	2385
135	375	2384
136	378	2381
137	380	2376
138	382	2371
139	385	2366
140	387	2363
141	390	2357
142	392	2352
143	394	2347
144	397	2342
145	399	2338
146	403	2339
147	406	2337
148	408	2333
149	410	2327
150	412	2322
151	415	2317
152	417	2312
153	420	2308
154	422	2303
155	424	2298
156	427	2293
157	429	2290
158	433	2293
159	436	2290
160	438	2285
161	441	2281
162	443	2277
163	446	2273
164	448	2270
165	451	2266
166	453	2262
167	455	2257
168	458	2253
169	460	2249
170	463	2247
171	466	2244
172	468	2239
173	470	2235
174	473	2230
175	475	2226
176	478	2222
177	480	2218
178	483	2216
179	485	2212
180	487	2208
181	490	2204
182	493	2202
183	496	2199
184	498	2196
185	500	2192
186	503	2188
187	505	2185
188	508	2181
189	510	2177
190	513	2173
191	515	2169
192	517	2165
193	520	2162
194	524	2163
195	526	2160
196	529	2156
197	531	2152
198	533	2149
199	536	2147
200	539	2143
201	541	2139
202	544	2137
203	546	2133
204	549	2131
205	552	2130
206	555	2127
207	557	2124
208	560	2120
209	562	2116
210	565	2112
211	567	2109
212	570	2106
213	572	2102
214	574	2098
215	577	2095
216	580	2093
217	583	2092
218	585	2089
219	588	2084
220	590	2081
221	592	2077
222	595	2073
223	597	2070
224	600	2066
225	602	2063
226	605	2060
227	607	2056
228	609	2053
229	613	2052
230	615	2049
231	618	2046
232	620	2042
233	621	2034
234	623	2030
235	626	2028
236	629	2025
237	630	2017
238	631	2010
239	633	2007
240	636	2003
241	638	1999
242	642	2001
243	645	2000
244	648	1997
245	650	1993
246	652	1989
247	655	1988
248	658	1986
249	661	1983
250	663	1980
251	665	1976
252	668	1973
253	670	1970
254	673	1968
255	676	1965
256	678	1962
257	681	1959
258	683	1955
259	686	1952
260	688	1949
261	691	1946
262	693	1943
263	695	1939
264	698	1936
265	700	1934
266	703	1932
267	706	1929
268	708	1925
269	711	1922
270	713	1919
271	716	1916
272	718	1913
273	720	1909
274	723	1906
275	725	1903
276	727	1899
277	730	1897
278	733	1895
279	736	1892
280	738	1889
281	740	1886
282	743	1882
283	745	1880
284	748	1877
285	751	1875
286	753	1873
287	756	1869
288	758	1867
289	761	1865
290	765	1864
291	768	1862
292	770	1859
293	773	1856
294	775	1853
295	778	1850
296	781	1848
297	783	1846
298	786	1842
299	788	1840
300	791	1838
301	794	1837
302	797	1834
303	799	1830
304	802	1827
305	804	1824
306	806	1821
307	809	1818
308	811	1815
309	814	1812
310	817	1810
311	820	1808
312	822	1806
313	825	1803
314	828	1800
315	830	1797
316	833	1794
317	835	1791
318	838	1788
319	840	1785
320	843	1783
321	845	1780
322	848	1778
323	851	1777
324	854	1774
325	856	1771
326	859	1769
327	862	1766
328	864	1763
329	866	1760
330	869	1757
331	871	1754
332	874	1752
333	878	1752
334	881	1750
335	884	1747
336	886	1744
337	889	1741
338	891	1738
339	894	1735
340	896	1732
341	898	1729
342	901	1726
343	903	1722
344	907	1723
345	911	1722
346	914	1720
347	917	1719
348	922	1720
349	924	1717
350	926	1713
351	929	1710
352	931	1707
353	934	1704
354	937	1703
355	940	1701
356	942	1698
357	945	1695
358	947	1692
359	949	1688
360	952	1686
361	955	1684
362	957	1681
363	960	1677
364	962	1674
365	964	1671
366	968	1670
367	971	1667
368	973	1664
369	975	1661
370	978	1658
371	982	1658
372	984	1655
373	987	1652
374	989	1649
375	992	1646
376	995	1644
377	998	1642
378	1001	1641
379	1004	1638
380	1006	1635
381	1009	1633
382	1012	1631
383	1015	1628
384	1018	1626
385	1020	1623
386	1023	1620
387	1026	1619
388	1029	1616
389	1032	1614
390	1034	1611
391	1036	1608
392	1039	1605
393	1041	1602
394	1044	1599
395	1046	1596
396	1049	1593
397	1051	1590
398	1055	1589
399	1057	1586
400	1060	1583
401	1062	1580
402	1065	1578
403	1068	1575
404	1070	1572
405	1072	1569
406	1075	1566
407	1077	1563
408	1079	1560
409	1082	1558
410	1085	1556
411	1088	1553
412	1090	1550
413	1093	1547
414	1095	1544
415	1097	1541
416	1099	1537
417	1102	1534
418	1104	1531
419	1106	1528
420	1109	1525
421	1112	1523
422	1116	1522
423	1118	1519
424	1121	1516
425	1123	1513
426	1126	1512
427	1129	1509
428	1131	1506
429	1134	1503
430	1136	1500
431	1138	1497
432	1141	1495
433	1144	1493
434	1147	1490
435	1149	1487
436	1152	1484
437	1154	1481
438	1157	1478
439	1159	1475
440	1162	1472
441	1164	1469
